partynames,riding,party,votes
Ontario Liberal Party,KITCHENER CENTRE,LIB,15392
Ontario Libertarian Party,KITCHENER CENTRE,LTN,240
Ontario NDP,KITCHENER CENTRE,NDP,7385
PC Party of Ontario,KITCHENER CENTRE,PC,15069
Green Party of Ontario,KITCHENER--CONESTOGA,GRN,1121
Ontario Liberal Party,KITCHENER--CONESTOGA,LIB,14476
Ontario NDP,KITCHENER--CONESTOGA,NDP,7165
PC Party of Ontario,KITCHENER--CONESTOGA,PC,18017
Freedom Party of Ontario,KITCHENER--WATERLOO,FP,123
Green Party of Ontario,KITCHENER--WATERLOO,GRN,1308
Independent,KITCHENER--WATERLOO,IND,316
Ontario Liberal Party,KITCHENER--WATERLOO,LIB,17837
Ontario NDP,KITCHENER--WATERLOO,NDP,8250
PC Party of Ontario,KITCHENER--WATERLOO,PC,21665
Family Coalition Party of Ontario,LAMBTON--KENT--MIDDLESEX,FCP,350
Freedom Party of Ontario,LAMBTON--KENT--MIDDLESEX,FP,119
Green Party of Ontario,LAMBTON--KENT--MIDDLESEX,GRN,987
Ontario Liberal Party,LAMBTON--KENT--MIDDLESEX,LIB,12423
Ontario NDP,LAMBTON--KENT--MIDDLESEX,NDP,8882
PC Party of Ontario,LAMBTON--KENT--MIDDLESEX,PC,19379
Reform Party of Ontario,LAMBTON--KENT--MIDDLESEX,REF,232
Green Party of Ontario,LANARK--FRONTENAC--LENNOX AND ADDINGTON,GRN,1754
Ontario Liberal Party,LANARK--FRONTENAC--LENNOX AND ADDINGTON,LIB,12490
Ontario NDP,LANARK--FRONTENAC--LENNOX AND ADDINGTON,NDP,8104
PC Party of Ontario,LANARK--FRONTENAC--LENNOX AND ADDINGTON,PC,22457
Green Party of Ontario,LEEDS--GRENVILLE,GRN,1319
Ontario Liberal Party,LEEDS--GRENVILLE,LIB,6663
Ontario NDP,LEEDS--GRENVILLE,NDP,5822
PC Party of Ontario,LEEDS--GRENVILLE,PC,24314
Socialist Party of Ontario,LEEDS--GRENVILLE,SPO,111
Freedom Party of Ontario,LONDON NORTH CENTRE,FP,269
Green Party of Ontario,LONDON NORTH CENTRE,GRN,1451
Ontario Liberal Party,LONDON NORTH CENTRE,LIB,19167
Ontario Libertarian Party,LONDON NORTH CENTRE,LTN,169
Ontario NDP,LONDON NORTH CENTRE,NDP,9914
PC Party of Ontario,LONDON NORTH CENTRE,PC,12628
Paupers,LONDON NORTH CENTRE,PPO,54
Freedom Party of Ontario,LONDON WEST,FP,300
Green Party of Ontario,LONDON WEST,GRN,1194
Ontario Liberal Party,LONDON WEST,LIB,22610
Ontario NDP,LONDON WEST,NDP,10757
PC Party of Ontario,LONDON WEST,PC,14603
People First Republic Party of Ontario,LONDON WEST,PFR,61
Freedom Party of Ontario,LONDON--FANSHAWE,FP,155
Green Party of Ontario,LONDON--FANSHAWE,GRN,852
Independent,LONDON--FANSHAWE,IND,192
Ontario Liberal Party,LONDON--FANSHAWE,LIB,9678
Ontario Libertarian Party,LONDON--FANSHAWE,LTN,320
Ontario NDP,LONDON--FANSHAWE,NDP,13953
PC Party of Ontario,LONDON--FANSHAWE,PC,9075
Green Party of Ontario,MARKHAM--UNIONVILLE,GRN,1104
Ontario Liberal Party,MARKHAM--UNIONVILLE,LIB,19579
Ontario Libertarian Party,MARKHAM--UNIONVILLE,LTN,259
Ontario NDP,MARKHAM--UNIONVILLE,NDP,4575
PC Party of Ontario,MARKHAM--UNIONVILLE,PC,11720
Freedom Party of Ontario,MISSISSAUGA EAST--COOKSVILLE,FP,183
Green Party of Ontario,MISSISSAUGA EAST--COOKSVILLE,GRN,932
Independent,MISSISSAUGA EAST--COOKSVILLE,IND,204
Ontario Liberal Party,MISSISSAUGA EAST--COOKSVILLE,LIB,15450
Ontario NDP,MISSISSAUGA EAST--COOKSVILLE,NDP,5744
PC Party of Ontario,MISSISSAUGA EAST--COOKSVILLE,PC,11289
Paramount Canadians Party,MISSISSAUGA EAST--COOKSVILLE,PCP,113
Freedom Party of Ontario,MISSISSAUGA SOUTH,FP,236
Green Party of Ontario,MISSISSAUGA SOUTH,GRN,860
Ontario Liberal Party,MISSISSAUGA SOUTH,LIB,20375
Ontario NDP,MISSISSAUGA SOUTH,NDP,4044
PC Party of Ontario,MISSISSAUGA SOUTH,PC,14499
Vegan Environmental Party,MISSISSAUGA SOUTH,VEP,165
Green Party of Ontario,MISSISSAUGA--BRAMPTON SOUTH,GRN,1247
Independent,MISSISSAUGA--BRAMPTON SOUTH,IND,400
Independent,MISSISSAUGA--BRAMPTON SOUTH,IND,216
Ontario Liberal Party,MISSISSAUGA--BRAMPTON SOUTH,LIB,15579
Ontario Libertarian Party,MISSISSAUGA--BRAMPTON SOUTH,LTN,691
Ontario NDP,MISSISSAUGA--BRAMPTON SOUTH,NDP,5420
PC Party of Ontario,MISSISSAUGA--BRAMPTON SOUTH,PC,10287
Freedom party of Ontario,MISSISSAUGA--ERINDALE,FP,176
Green Party of Ontario,MISSISSAUGA--ERINDALE,GRN,853
Ontario Liberal Party,MISSISSAUGA--ERINDALE,LIB,20552
Ontario NDP,MISSISSAUGA--ERINDALE,NDP,7768
PC Party of Ontario,MISSISSAUGA--ERINDALE,PC,16294
Green Party of Ontario,MISSISSAUGA--STREETSVILLE,GRN,1329
Ontario Liberal Party,MISSISSAUGA--STREETSVILLE,LIB,18591
Ontario NDP,MISSISSAUGA--STREETSVILLE,NDP,5494
PC Party of Ontario,MISSISSAUGA--STREETSVILLE,PC,10655
Freedom Party of Ontario,NEPEAN--CARLETON,FP,217
Green Party of Ontario,NEPEAN--CARLETON,GRN,1641
Ontario Liberal Party,NEPEAN--CARLETON,LIB,14844
Ontario Libertarian Party,NEPEAN--CARLETON,LTN,223
Ontario NDP,NEPEAN--CARLETON,NDP,8127
PC Party of Ontario,NEPEAN--CARLETON,PC,29985
Green Party of Ontario,NEWMARKET--AURORA,GRN,1256
Ontario Liberal Party,NEWMARKET--AURORA,LIB,16154
Ontario NDP,NEWMARKET--AURORA,NDP,6514
PC Party of Ontario,NEWMARKET--AURORA,PC,21425
 TIM TREDWELL,NIAGARA FALLS,IND,112
Family Coalition Party of Ontario,NIAGARA FALLS,FCP,191
Green Party of Ontario,NIAGARA FALLS,GRN,759
Independent,NIAGARA FALLS,IND,119
Ontario Liberal Party,NIAGARA FALLS,LIB,16794
Ontario Libertarian Party,NIAGARA FALLS,LTN,217
Ontario NDP,NIAGARA FALLS,NDP,12304
PC Party of Ontario,NIAGARA FALLS,PC,16296
Family Coalition Party of Ontario,NIAGARA WEST--GLANBROOK,FCP,303
Freedom Party of Ontario,NIAGARA WEST--GLANBROOK,FP,80
Green Party of Ontario,NIAGARA WEST--GLANBROOK,GRN,1372
Ontario Liberal Party,NIAGARA WEST--GLANBROOK,LIB,12708
Ontario Libertarian Party,NIAGARA WEST--GLANBROOK,LTN,166
Ontario NDP,NIAGARA WEST--GLANBROOK,NDP,9070
PC Party of Ontario,NIAGARA WEST--GLANBROOK,PC,24919
Reform Party of Ontario,NIAGARA WEST--GLANBROOK,REF,128
The People,NIAGARA WEST--GLANBROOK,PPP,158
Green Party of Ontario,NICKEL BELT,GRN,810
Ontario Liberal Party,NICKEL BELT,LIB,7451
Ontario NDP,NICKEL BELT,NDP,16876
PC Party of Ontario,NICKEL BELT,PC,5625
Green Party of Ontario,NIPISSING,GRN,971
Ontario Liberal Party,NIPISSING,LIB,8775
Ontario NDP,NIPISSING,NDP,5567
PC Party of Ontario,NIPISSING,PC,15381
Green Party of Ontario,NORTHUMBERLAND--QUINTE WEST,GRN,1484
Independent,NORTHUMBERLAND--QUINTE WEST,IND,159
Ontario Liberal Party,NORTHUMBERLAND--QUINTE WEST,LIB,18575
Ontario Libertarian Party,NORTHUMBERLAND--QUINTE WEST,LTN,358
Ontario NDP,NORTHUMBERLAND--QUINTE WEST,NDP,8580
PC Party of Ontario,NORTHUMBERLAND--QUINTE WEST,PC,19260
Green Party of Ontario,OAK RIDGES--MARKHAM,GRN,1731
Independent,OAK RIDGES--MARKHAM,IND,630
Ontario Liberal Party,OAK RIDGES--MARKHAM,LIB,28722
Ontario Libertarian Party,OAK RIDGES--MARKHAM,LTN,1115
Ontario NDP,OAK RIDGES--MARKHAM,NDP,8444
PC Party of Ontario,OAK RIDGES--MARKHAM,PC,23569
Family Coalition Party of Ontario,OAKVILLE,FCP,188
Freedom Party of Ontario,OAKVILLE,FP,115
Green Party of Ontario,OAKVILLE,GRN,878
Independent,OAKVILLE,IND,498
Ontario Liberal Party,OAKVILLE,LIB,21711
Ontario NDP,OAKVILLE,NDP,4625
PC Party of Ontario,OAKVILLE,PC,17131
Freedom Party of Ontario,OSHAWA,FP,147
Green Party of Ontario,OSHAWA,GRN,1035
Ontario Liberal Party,OSHAWA,LIB,6921
Ontario Libertarian Party,OSHAWA,LTN,435
Ontario NDP,OSHAWA,NDP,14316
PC Party of Ontario,OSHAWA,PC,16719
Communist,OTTAWA CENTRE,COM,160
Green Party of Ontario,OTTAWA CENTRE,GRN,2184
Independent,OTTAWA CENTRE,IND,309
Ontario Liberal Party,OTTAWA CENTRE,LIB,23646
Ontario Libertarian Party,OTTAWA CENTRE,LTN,240
Ontario NDP,OTTAWA CENTRE,NDP,14715
PC Party of Ontario,OTTAWA CENTRE,PC,9257
Green Party of Ontario,OTTAWA SOUTH,GRN,1442
Ontario Liberal Party,OTTAWA SOUTH,LIB,21842
Ontario Libertarian Party,OTTAWA SOUTH,LTN,252
Ontario NDP,OTTAWA SOUTH,NDP,5988
PC Party of Ontario,OTTAWA SOUTH,PC,14945
Party for People with Special Needs,OTTAWA SOUTH,PSN,238
Family Coalition Party of Ontario,OTTAWA WEST--NEPEAN,FCP,396
Green Party of Ontario,OTTAWA WEST--NEPEAN,GRN,1485
Ontario Liberal Party,OTTAWA WEST--NEPEAN,LIB,18492
Ontario NDP,OTTAWA WEST--NEPEAN,NDP,6576
PC Party of Ontario,OTTAWA WEST--NEPEAN,PC,17483
Freedom Party of Ontario,OTTAWA--ORLEANS,FP,183
Green Party of Ontario,OTTAWA--ORLEANS,GRN,886
Ontario Liberal Party,OTTAWA--ORLEANS,LIB,21857
Ontario Libertarian Party,OTTAWA--ORLEANS,LTN,154
Ontario NDP,OTTAWA--ORLEANS,NDP,4979
PC Party of Ontario,OTTAWA--ORLEANS,PC,19003
Family Coalition Party of Ontario,OTTAWA--VANIER,FCP,352
Green Party of Ontario,OTTAWA--VANIER,GRN,1719
Ontario Liberal Party,OTTAWA--VANIER,LIB,19619
Ontario NDP,OTTAWA--VANIER,NDP,7466
PC Party of Ontario,OTTAWA--VANIER,PC,8929
Family Coalition Party of Ontario,OXFORD,FCP,359
Green Party of Ontario,OXFORD,GRN,1336
Ontario Liberal Party,OXFORD,LIB,9410
Ontario NDP,OXFORD,NDP,5885
PC Party of Ontario,OXFORD,PC,20658
Green Party of Ontario,PARKDALE--HIGH PARK,GRN,1325
Independent,PARKDALE--HIGH PARK,IND,88
Independent,PARKDALE--HIGH PARK,IND,84
Independent,PARKDALE--HIGH PARK,IND,78
Independent,PARKDALE--HIGH PARK,IND,39
Ontario Liberal Party,PARKDALE--HIGH PARK,LIB,14877
Ontario Libertarian Party,PARKDALE--HIGH PARK,LTN,172
Ontario NDP,PARKDALE--HIGH PARK,NDP,18365
PC Party of Ontario,PARKDALE--HIGH PARK,PC,4668
The People,PARKDALE--HIGH PARK,PPP,56
Freedom Party of Ontario,PARRY SOUND--MUSKOKA,FP,167
Green Party of Ontario,PARRY SOUND--MUSKOKA,GRN,3251
Ontario Liberal Party,PARRY SOUND--MUSKOKA,LIB,6537
Ontario NDP,PARRY SOUND--MUSKOKA,NDP,6527
PC Party of Ontario,PARRY SOUND--MUSKOKA,PC,19417
Family Coalition Party of Ontario,PERTH--WELLINGTON,FCP,627
Freedom Party of Ontario,PERTH--WELLINGTON,FP,164
Green Party of Ontario,PERTH--WELLINGTON,GRN,918
Ontario Liberal Party,PERTH--WELLINGTON,LIB,14635
Ontario NDP,PERTH--WELLINGTON,NDP,5836
PC Party of Ontario,PERTH--WELLINGTON,PC,14845
Freedom Party of Ontario,PETERBOROUGH,FP,127
Green Party of Ontario,PETERBOROUGH,GRN,1235
Ontario Liberal Party,PETERBOROUGH,LIB,19430
Ontario NDP,PETERBOROUGH,NDP,12460
PC Party of Ontario,PETERBOROUGH,PC,15323
Socialist Party of Ontario,PETERBOROUGH,SPO,83
Green Party of Ontario,PICKERING--SCARBOROUGH EAST,GRN,1096
Ontario Liberal Party,PICKERING--SCARBOROUGH EAST,LIB,18201
Ontario Libertarian Party,PICKERING--SCARBOROUGH EAST,LTN,252
Ontario NDP,PICKERING--SCARBOROUGH EAST,NDP,6424
PC Party of Ontario,PICKERING--SCARBOROUGH EAST,PC,13033
Family Coalition Party of Ontario,PRINCE EDWARD--HASTINGS,FCP,257
Green Party of Ontario,PRINCE EDWARD--HASTINGS,GRN,2049
Ontario Liberal Party,PRINCE EDWARD--HASTINGS,LIB,15686
Ontario Libertarian Party,PRINCE EDWARD--HASTINGS,LTN,201
Ontario NDP,PRINCE EDWARD--HASTINGS,NDP,7379
PC Party of Ontario,PRINCE EDWARD--HASTINGS,PC,18816
People First Republic Party of Ontario,PRINCE EDWARD--HASTINGS,PFR,115
Green Party of Ontario,RENFREW--NIPISSING--PEMBROKE,GRN,574
Ontario Liberal Party,RENFREW--NIPISSING--PEMBROKE,LIB,6231
Ontario NDP,RENFREW--NIPISSING--PEMBROKE,NDP,4277
Ontario Provincial Confederation of Regions Party,RENFREW--NIPISSING--PEMBROKE,COR,309
PC Party of Ontario,RENFREW--NIPISSING--PEMBROKE,PC,27594
